CENSUS TRACT,COUNTY,COMMUNITY IMPACT SCORE,,
"Census Tract 121, Cambria County, Pennsylvania",Cambria,1.5,,
"Census Tract 122, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 123, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 124, Cambria County, Pennsylvania",Cambria,1.5,,
"Census Tract 125, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 126, Cambria County, Pennsylvania",Cambria,3.5,,
"Census Tract 127, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 128, Cambria County, Pennsylvania",Cambria,3,,
"Census Tract 129, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 130, Cambria County, Pennsylvania",Cambria,3,,
"Census Tract 131, Cambria County, Pennsylvania",Cambria,1.5,,
"Census Tract 132, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 133, Cambria County, Pennsylvania",Cambria,2,,
"Census Tract 134, Cambria County, Pennsylvania",Cambria,5,,
"Census Tract 135, Cambria County, Pennsylvania",Cambria,5,,
"Census Tract 136, Cambria County, Pennsylvania",Cambria,4.5,,
"Census Tract 137, Cambria County, Pennsylvania",Cambria,2.5,,
"Census Tract 2, Cambria County, Pennsylvania",Cambria,4.5,,
"Census Tract 3, Cambria County, Pennsylvania",Cambria,5,,
"Census Tract 5, Cambria County, Pennsylvania",Cambria,5,,
"Census Tract 6, Cambria County, Pennsylvania",Cambria,4.5,,
"Census Tract 7, Cambria County, Pennsylvania",Cambria,3,,
"Census Tract 9601, Cameron County, Pennsylvania",Cameron,3.5,,
"Census Tract 9602, Cameron County, Pennsylvania",Cameron,2,,
"Census Tract 201.02, Carbon County, Pennsylvania",Carbon,3,,
"Census Tract 201.03, Carbon County, Pennsylvania",Carbon,1,,
"Census Tract 201.05, Carbon County, Pennsylvania",Carbon,1.5,,
"Census Tract 201.06, Carbon County, Pennsylvania",Carbon,1.5,,
"Census Tract 202, Carbon County, Pennsylvania",Carbon,2,,
"Census Tract 203, Carbon County, Pennsylvania",Carbon,3,,
"Census Tract 204, Carbon County, Pennsylvania",Carbon,4,,
"Census Tract 205, Carbon County, Pennsylvania",Carbon,1.5,,
"Census Tract 206, Carbon County, Pennsylvania",Carbon,4.5,,
"Census Tract 207, Carbon County, Pennsylvania",Carbon,2,,
"Census Tract 208, Carbon County, Pennsylvania",Carbon,1.5,,
"Census Tract 209, Carbon County, Pennsylvania",Carbon,3,,
"Census Tract 101, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 102, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 103, Centre County, Pennsylvania",Centre,3.5,,
"Census Tract 104, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 105, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 106, Centre County, Pennsylvania",Centre,2,,
"Census Tract 107, Centre County, Pennsylvania",Centre,1,,
"Census Tract 108, Centre County, Pennsylvania",Centre,2,,
"Census Tract 109, Centre County, Pennsylvania",Centre,2,,
"Census Tract 110, Centre County, Pennsylvania",Centre,2.5,,
"Census Tract 111, Centre County, Pennsylvania",Centre,3.5,,
"Census Tract 112.01, Centre County, Pennsylvania",Centre,1,,
"Census Tract 113, Centre County, Pennsylvania",Centre,4,,
"Census Tract 114, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 115.01, Centre County, Pennsylvania",Centre,2,,
"Census Tract 115.02, Centre County, Pennsylvania",Centre,4,,
"Census Tract 116, Centre County, Pennsylvania",Centre,1,,
"Census Tract 117.02, Centre County, Pennsylvania",Centre,2,,
"Census Tract 118, Centre County, Pennsylvania",Centre,1.5,,
"Census Tract 119.01, Centre County, Pennsylvania",Centre,1,,
"Census Tract 119.02, Centre County, Pennsylvania",Centre,1,,
"Census Tract 120, Centre County, Pennsylvania",Centre,4.5,,
"Census Tract 121, Centre County, Pennsylvania",Centre,4,,
"Census Tract 122, Centre County, Pennsylvania",Centre,5,,
"Census Tract 123, Centre County, Pennsylvania",Centre,2,,
"Census Tract 124, Centre County, Pennsylvania",Centre,4.5,,
"Census Tract 125, Centre County, Pennsylvania",Centre,5,,
"Census Tract 126, Centre County, Pennsylvania",Centre,4,,
"Census Tract 127, Centre County, Pennsylvania",Centre,2,,
"Census Tract 128, Centre County, Pennsylvania",Centre,3,,
"Census Tract 9812.02, Centre County, Pennsylvania",Centre,1,,
"Census Tract 3001.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3001.03, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3001.04, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3001.06, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3001.07, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3001.08, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3001.09, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3002.01, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3002.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3003.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3003.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3003.03, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3004, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3005.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3005.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3006, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3007, Chester County, Pennsylvania",Chester,2.5,,
"Census Tract 3008, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3009, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3010, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3011, Chester County, Pennsylvania",Chester,4,,
"Census Tract 3013, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3014.01, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3014.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3015, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3016, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3017, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3018, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3019, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3020, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3021.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3021.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3022.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3022.03, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3022.04, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3023, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3024, Chester County, Pennsylvania",Chester,2.5,,
"Census Tract 3025, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3026, Chester County, Pennsylvania",Chester,4.5,,
"Census Tract 3027.02, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3027.03, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3027.04, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3027.05, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3027.06, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3028.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3028.03, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3028.04, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3028.05, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3029.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3029.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3030, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3031, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3033.01, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3033.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3034.01, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3034.02, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3035.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3035.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3038.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3038.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3039.01, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3039.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3040, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3041.01, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3041.02, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3042.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3043, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3044.03, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3044.04, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3044.05, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3044.06, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3045.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3045.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3046, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3049, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3050, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3051.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3051.02, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3053, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3054, Chester County, Pennsylvania",Chester,4.5,,
"Census Tract 3055, Chester County, Pennsylvania",Chester,5,,
"Census Tract 3056, Chester County, Pennsylvania",Chester,5,,
"Census Tract 3057, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3060, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3063, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3065.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3065.03, Chester County, Pennsylvania",Chester,2.5,,
"Census Tract 3065.04, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3066, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3067, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3068, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3069, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3070, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3071, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3072, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3073, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3074, Chester County, Pennsylvania",Chester,2.5,,
"Census Tract 3077, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3078, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3079, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3080, Chester County, Pennsylvania",Chester,4,,
"Census Tract 3081.01, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3081.02, Chester County, Pennsylvania",Chester,2.5,,
"Census Tract 3082, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3110, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3111, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3112, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3113, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3114.01, Chester County, Pennsylvania",Chester,1.5,,
"Census Tract 3114.03, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3114.04, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3115, Chester County, Pennsylvania",Chester,2,,
"Census Tract 3116, Chester County, Pennsylvania",Chester,3,,
"Census Tract 3117, Chester County, Pennsylvania",Chester,1,,
"Census Tract 3118, Chester County, Pennsylvania",Chester,2,,
"Census Tract 1601.01, Clarion County, Pennsylvania",Clarion,1.5,,
"Census Tract 1601.02, Clarion County, Pennsylvania",Clarion,4,,
"Census Tract 1602, Clarion County, Pennsylvania",Clarion,1.5,,
"Census Tract 1603, Clarion County, Pennsylvania",Clarion,2,,
"Census Tract 1604, Clarion County, Pennsylvania",Clarion,2,,
"Census Tract 1605, Clarion County, Pennsylvania",Clarion,2,,
"Census Tract 1606, Clarion County, Pennsylvania",Clarion,4.5,,
"Census Tract 1607, Clarion County, Pennsylvania",Clarion,3,,
"Census Tract 1608, Clarion County, Pennsylvania",Clarion,2,,
"Census Tract 1609, Clarion County, Pennsylvania",Clarion,2,,
"Census Tract 3301, Clearfield County, Pennsylvania",Clearfield,3,,
"Census Tract 3302, Clearfield County, Pennsylvania",Clearfield,3.5,,
"Census Tract 3303, Clearfield County, Pennsylvania",Clearfield,4,,
"Census Tract 3304, Clearfield County, Pennsylvania",Clearfield,1,,
"Census Tract 3305, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3306, Clearfield County, Pennsylvania",Clearfield,2.5,,
"Census Tract 3307, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3308, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3309, Clearfield County, Pennsylvania",Clearfield,3,,
"Census Tract 3310, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3311, Clearfield County, Pennsylvania",Clearfield,4,,
"Census Tract 3312, Clearfield County, Pennsylvania",Clearfield,3,,
"Census Tract 3313, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3314.01, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3314.02, Clearfield County, Pennsylvania",Clearfield,3,,
"Census Tract 3315, Clearfield County, Pennsylvania",Clearfield,2.5,,
"Census Tract 3316, Clearfield County, Pennsylvania",Clearfield,2.5,,
"Census Tract 3317, Clearfield County, Pennsylvania",Clearfield,2.5,,
"Census Tract 3318, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 3319, Clearfield County, Pennsylvania",Clearfield,2,,
"Census Tract 301, Clinton County, Pennsylvania",Clinton,3,,
"Census Tract 302, Clinton County, Pennsylvania",Clinton,2,,
"Census Tract 303, Clinton County, Pennsylvania",Clinton,1.5,,
"Census Tract 304, Clinton County, Pennsylvania",Clinton,2,,
"Census Tract 305, Clinton County, Pennsylvania",Clinton,2,,
"Census Tract 306, Clinton County, Pennsylvania",Clinton,5,,
"Census Tract 307, Clinton County, Pennsylvania",Clinton,4.5,,
"Census Tract 308, Clinton County, Pennsylvania",Clinton,1,,
"Census Tract 309, Clinton County, Pennsylvania",Clinton,2,,
"Census Tract 501, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 502, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 503, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 504, Columbia County, Pennsylvania",Columbia,1,,
"Census Tract 505, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 506, Columbia County, Pennsylvania",Columbia,3,,
"Census Tract 507, Columbia County, Pennsylvania",Columbia,3,,
"Census Tract 508, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 509, Columbia County, Pennsylvania",Columbia,2,,
"Census Tract 510, Columbia County, Pennsylvania",Columbia,3,,
"Census Tract 511, Columbia County, Pennsylvania",Columbia,4.5,,
"Census Tract 512, Columbia County, Pennsylvania",Columbia,5,,
"Census Tract 513, Columbia County, Pennsylvania",Columbia,2.5,,
"Census Tract 514, Columbia County, Pennsylvania",Columbia,1,,
"Census Tract 515, Columbia County, Pennsylvania",Columbia,1.5,,
"Census Tract 1101, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1102.01, Crawford County, Pennsylvania",Crawford,1,,
"Census Tract 1102.02, Crawford County, Pennsylvania",Crawford,3,,
"Census Tract 1103, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1104, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1105.01, Crawford County, Pennsylvania",Crawford,1.5,,
"Census Tract 1105.02, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1106, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1107, Crawford County, Pennsylvania",Crawford,1.5,,
"Census Tract 1108, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1109, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1110, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1111, Crawford County, Pennsylvania",Crawford,5,,
"Census Tract 1112, Crawford County, Pennsylvania",Crawford,3.5,,
"Census Tract 1113, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1114, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1115, Crawford County, Pennsylvania",Crawford,4,,
"Census Tract 1116, Crawford County, Pennsylvania",Crawford,5,,
"Census Tract 1117, Crawford County, Pennsylvania",Crawford,2.5,,
"Census Tract 1118, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1119, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1120.01, Crawford County, Pennsylvania",Crawford,2,,
"Census Tract 1120.02, Crawford County, Pennsylvania",Crawford,1.5,,
"Census Tract 101, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 102.03, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 102.04, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 103, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 104, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 105, Cumberland County, Pennsylvania",Cumberland,2.5,,
"Census Tract 106, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 107, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 108, Cumberland County, Pennsylvania",Cumberland,4.5,,
"Census Tract 109, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 110.02, Cumberland County, Pennsylvania",Cumberland,4,,
"Census Tract 111.01, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 111.02, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 112, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 113.01, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 113.02, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 113.03, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 113.04, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 113.05, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 114, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 115, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 116.01, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 116.02, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 116.05, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 117, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 118.01, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 118.02, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 118.03, Cumberland County, Pennsylvania",Cumberland,1.5,,
"Census Tract 119.01, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 119.02, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 120, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 121, Cumberland County, Pennsylvania",Cumberland,4,,
"Census Tract 122, Cumberland County, Pennsylvania",Cumberland,5,,
"Census Tract 123, Cumberland County, Pennsylvania",Cumberland,5,,
"Census Tract 124, Cumberland County, Pennsylvania",Cumberland,3,,
"Census Tract 125.01, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 125.02, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 126, Cumberland County, Pennsylvania",Cumberland,2.5,,
"Census Tract 127.01, Cumberland County, Pennsylvania",Cumberland,1.5,,
"Census Tract 127.02, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 128, Cumberland County, Pennsylvania",Cumberland,1.5,,
"Census Tract 129, Cumberland County, Pennsylvania",Cumberland,4.5,,
"Census Tract 130, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 131.01, Cumberland County, Pennsylvania",Cumberland,2,,
"Census Tract 131.02, Cumberland County, Pennsylvania",Cumberland,4.5,,
"Census Tract 132, Cumberland County, Pennsylvania",Cumberland,5,,
"Census Tract 9816.06, Cumberland County, Pennsylvania",Cumberland,1,,
"Census Tract 102.01, Cumberland County, Pennsylvania",Dauphin,1,,
"Census Tract 201, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 203, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 204, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 205, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 206, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 207, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 208, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 209, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 211, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 212, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 213, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 214, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 215, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 216, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 217, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 218, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 219.01, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 219.03, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 219.04, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 220, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 221, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 222, Dauphin County, Pennsylvania",Dauphin,3.5,,
"Census Tract 223, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 224.01, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 224.03, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 225.01, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 225.02, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 226.01, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 226.04, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 226.05, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 226.06, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 227.01, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 227.02, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 228, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 229, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 230, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 231, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 233, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 234, Dauphin County, Pennsylvania",Dauphin,4.5,,
"Census Tract 235, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 236.01, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 236.02, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 237, Dauphin County, Pennsylvania",Dauphin,5,,
"Census Tract 238, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 239, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 240.01, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 240.02, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 241.01, Dauphin County, Pennsylvania",Dauphin,3.5,,
"Census Tract 241.02, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 241.04, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 241.05, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 242, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 243, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 244, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 245.02, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 245.03, Dauphin County, Pennsylvania",Dauphin,1.5,,
"Census Tract 246, Dauphin County, Pennsylvania",Dauphin,1,,
"Census Tract 247, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 248, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 249, Dauphin County, Pennsylvania",Dauphin,3,,
"Census Tract 250, Dauphin County, Pennsylvania",Dauphin,3.5,,
"Census Tract 251, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 252, Dauphin County, Pennsylvania",Dauphin,2.5,,
"Census Tract 253, Dauphin County, Pennsylvania",Dauphin,2,,
"Census Tract 254, Dauphin County, Pennsylvania",Dauphin,4,,
"Census Tract 4003.01, Delaware County, Pennsylvania",Delaware,4,,
"Census Tract 4003.02, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4004.01, Delaware County, Pennsylvania",Delaware,4,,
"Census Tract 4004.02, Delaware County, Pennsylvania",Delaware,4.5,,
"Census Tract 4005, Delaware County, Pennsylvania",Delaware,2.5,,
"Census Tract 4006, Delaware County, Pennsylvania",Delaware,2.5,,
"Census Tract 4007, Delaware County, Pennsylvania",Delaware,4,,
"Census Tract 4008.01, Delaware County, Pennsylvania",Delaware,4.5,,
"Census Tract 4008.02, Delaware County, Pennsylvania",Delaware,2.5,,
"Census Tract 4009, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4010, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4011.01, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4011.03, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4011.04, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4012, Delaware County, Pennsylvania",Delaware,3,,
"Census Tract 4013.01, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4013.02, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4014.01, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4014.02, Delaware County, Pennsylvania",Delaware,3,,
"Census Tract 4015.01, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4015.02, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4016, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4017, Delaware County, Pennsylvania",Delaware,2.5,,
"Census Tract 4018, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4019, Delaware County, Pennsylvania",Delaware,2.5,,
"Census Tract 4020, Delaware County, Pennsylvania",Delaware,4.5,,
"Census Tract 4021, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4022, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4023, Delaware County, Pennsylvania",Delaware,4.5,,
"Census Tract 4024, Delaware County, Pennsylvania",Delaware,4,,
"Census Tract 4025, Delaware County, Pennsylvania",Delaware,5,,
"Census Tract 4026, Delaware County, Pennsylvania",Delaware,3,,
"Census Tract 4027, Delaware County, Pennsylvania",Delaware,3,,
"Census Tract 4028, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4029, Delaware County, Pennsylvania",Delaware,4.5,,
"Census Tract 4030.01, Delaware County, Pennsylvania",Delaware,1,,
"Census Tract 4030.02, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4031.01, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4031.03, Delaware County, Pennsylvania",Delaware,2,,
"Census Tract 4031.04, Delaware County, Pennsylvania",Delaware,3.5,,
"Census Tract 4032, Delaware County, Pennsylvania",Delaware,1.5,,
"Census Tract 4033, Delaware County, Pennsylvania",Delaware,2,,
