,index,tract_id_proper,ci_score,op_score,so,srb,shs,chc,County FIPS Code,tract,tract_id
94,138,1048,1.0,5.375,0.1574,0.44145,0.08524999999999999,0.0,17,42017104800,104800
95,139,1049.01,1.0,5.3125,0.166575,0.413025,0.035025,0.0,17,42017104901,104901
96,140,1049.02,1.0,5.25,0.16290000000000002,0.42663333333333325,0.0385,0.0,17,42017104902,104902
97,141,105,2.5454545454545454,3.385714285714288,0.17383428571428533,0.3026171428571433,0.27054000000000045,0.0020000000000000013,55,42055010500,010500
98,142,105.01,1.0,3.75,0.17653333333333335,0.35463333333333336,0.16516666666666666,0.0,71,42071010501,010501
99,143,105.02,2.0,3.5,0.1621,0.32033333333333336,0.23413333333333333,0.0,71,42071010502,010502
100,144,1050.03,1.0,5.5,0.17145,0.38630000000000003,0.0554,0.0,17,42017105003,105003
101,145,1050.04,1.0,5.25,0.2086,0.4056,0.030899999999999997,0.0,17,42017105004,105004
102,146,1050.06,1.0,5.0,0.18165,0.40015,0.044399999999999995,0.0,17,42017105006,105006
103,147,1050.08,1.0,4.75,0.2489,0.45039999999999997,0.0298,0.0,17,42017105008,105008
104,149,1050.11,1.0,5.0,0.18165,0.40015,0.044399999999999995,0.0,17,42017105011,105011
105,150,1050.12,1.0,5.25,0.2086,0.4056,0.030899999999999997,0.0,17,42017105012,105012
106,151,1050.13,1.0,5.25,0.2086,0.4056,0.030899999999999997,0.0,17,42017105013,105013
107,152,1051,1.0,5.583333333333333,0.12469999999999999,0.3988333333333333,0.0552,0.0,17,42017105100,105100
108,153,1052.02,2.0,5.5,0.1488,0.38270000000000004,0.0747,0.0,17,42017105202,105202
109,155,1052.06,1.0,5.5,0.1389,0.37370000000000003,0.0781,0.0,17,42017105206,105206
110,159,1054,1.0,5.583333333333333,0.2119333333333333,0.3746333333333334,0.08700000000000001,0.0,17,42017105400,105400
111,163,1055.08,1.0,5.5,0.1389,0.37370000000000003,0.0781,0.0,17,42017105508,105508
112,169,1058.01,1.0,5.0,0.1537333333333333,0.4089666666666667,0.054433333333333334,0.0,17,42017105801,105801
113,170,1058.05,2.0,4.583333333333333,0.14646666666666666,0.3881666666666667,0.03666666666666667,0.0,17,42017105805,105805
114,171,1058.07,3.5,4.875,0.15885,0.42325,0.043500000000000004,0.0,17,42017105807,105807
115,172,1058.08,1.0,4.25,0.14795,0.39205,0.016850000000000004,0.0,17,42017105808,105808
116,173,1058.09,1.0,4.25,0.14795,0.39205,0.016850000000000004,0.0,17,42017105809,105809
117,176,1059,4.0,4.0,0.13413333333333335,0.39880000000000004,0.12153333333333333,0.0,17,42017105900,105900
118,177,106,2.3181818181818183,3.486451612903226,0.1808806451612904,0.3109032258064521,0.2348225806451621,0.0016129032258064525,81,42081010600,010600
119,178,1060,1.0,4.875,0.15539999999999998,0.43920000000000003,0.0631,0.0,17,42017106000,106000
120,181,1063,1.0,4.875,0.15134999999999998,0.329225,0.1829,0.0,17,42017106300,106300
121,183,1064.02,1.0,4.6875,0.1592,0.41195,0.269,0.0,17,42017106402,106402
122,184,1065,2.0,4.25,0.1629,0.44294999999999995,0.20955000000000001,0.0,17,42017106500,106500
123,185,1066,1.0,4.666666666666667,0.15539999999999998,0.3349333333333333,0.38053333333333333,0.0,17,42017106600,106600
124,186,107,2.1363636363636362,3.5332000000000003,0.17407600000000006,0.30638799999999955,0.2390080000000003,0.0024000000000000015,13,42013010700,010700
125,189,108,2.888888888888889,3.5277777777777777,0.15817777777777806,0.311911111111111,0.33206666666666657,0.002777777777777779,49,42049010800,010800
126,190,108.01,1.5,3.59375,0.16040000000000004,0.3384499999999999,0.2030625,0.0,71,42071010801,010801
127,191,108.02,1.5,3.7916666666666665,0.15785000000000002,0.34876666666666667,0.2257166666666667,0.0,71,42071010802,010802
128,192,109,2.4444444444444446,3.5044444444444447,0.17064444444444468,0.30633333333333274,0.2687388888888889,0.002222222222222223,101,42101010900,010900
129,193,109.02,2.0,3.75,0.16053333333333333,0.3586666666666667,0.14383333333333334,0.0033333333333333335,49,42049010902,010902
130,194,109.03,1.0,3.8125,0.1819,0.36987500000000006,0.135,0.0025,11,42011010903,010903
131,195,109.04,1.25,3.8125,0.192425,0.34665,0.15875,0.0025,49,42049010904,010904
132,196,109.05,2.5,3.75,0.15165,0.35595,0.19069999999999998,0.0,11,42011010905,010905
